,all,counts,male,,mostly_male,,female,,mostly_female,,andy,,unknown,
65,environment,188,lot,82.0,instructors,10.0,group,60.0,professional,10.0,machine,3.0,studio,35.0
66,cardio,187,weight,82.0,told,10.0,life,58.0,started,10.0,studio,3.0,environment,34.0
67,instructors,186,lots,81.0,weeks,10.0,area,58.0,stronger,10.0,night,3.0,year,34.0
68,studio,186,environment,81.0,instructor,9.0,energy,57.0,body,10.0,manager,3.0,hard,34.0
69,knowledgeable,185,welcoming,79.0,months,9.0,sauna,57.0,encouraging,10.0,sets,3.0,atmosphere,34.0
70,hard,185,year,79.0,member,9.0,free,56.0,energy,10.0,room,3.0,times,33.0
71,'',183,life,78.0,showers,9.0,environment,56.0,card,10.0,2024,3.0,crowded,33.0
72,weight,179,space,78.0,high,9.0,variety,55.0,member,10.0,favorite,3.0,life,32.0
73,open,176,fun,76.0,squat,9.0,room,55.0,level,10.0,called,3.0,parking,31.0
74,``,176,cardio,74.0,hours,9.0,form,55.0,months,9.0,cycling,3.0,pool,31.0
75,space,172,town,73.0,``,9.0,lot,54.0,helpful,9.0,hours,3.0,sauna,31.0
76,cancel,171,hard,72.0,'',9.0,heat,52.0,times,9.0,answered,3.0,instructors,30.0
77,form,164,cancel,70.0,amenities,9.0,atmosphere,52.0,push,9.0,month,3.0,price,30.0
78,plenty,163,programming,70.0,lift,9.0,happy,52.0,extremely,9.0,cancel,3.0,big,30.0
79,hours,162,big,69.0,knowledgeable,9.0,service,52.0,small,9.0,locker,3.0,extremely,30.0
80,big,161,parking,68.0,environment,9.0,space,50.0,needed,9.0,charge,3.0,space,30.0
81,customer,160,gold,68.0,big,9.0,encouraging,50.0,downtown,9.0,'ll,3.0,days,29.0
82,challenging,158,busy,68.0,professional,9.0,small,50.0,single,8.0,busy,3.0,business,29.0
83,crowded,157,crossfit,68.0,kind,8.0,push,49.0,account,8.0,pace,3.0,care,29.0
84,planet,157,knowledgeable,67.0,shower,8.0,'',49.0,..,8.0,friends,2.0,knowledgeable,29.0
85,pretty,156,facilities,67.0,pretty,8.0,weight,49.0,“,8.0,fitness,2.0,gold,29.0
86,parking,156,week,66.0,days,8.0,``,48.0,”,8.0,intimidating,2.0,ymca,29.0
87,sauna,156,told,65.0,parking,8.0,coach,47.0,yoga,8.0,bootcamp,2.0,goals,28.0
88,small,153,form,64.0,extremely,8.0,big,47.0,shape,8.0,push,2.0,pretty,28.0
89,care,152,coming,63.0,push,8.0,customer,47.0,minutes,8.0,encouraging,2.0,'',28.0
90,group,152,excellent,62.0,..,8.0,month,47.0,nice,8.0,owner,2.0,hours,28.0
91,level,151,locker,61.0,towels,8.0,coming,46.0,free,8.0,distance,2.0,plenty,28.0
92,manager,151,24,61.0,year,8.0,enjoy,45.0,``,8.0,location,2.0,wait,27.0
93,started,150,exercise,61.0,check,8.0,level,44.0,'',8.0,shape,2.0,weights,27.0
94,variety,150,price,61.0,strength,8.0,music,44.0,business,8.0,life,2.0,locations,27.0
95,told,149,atomic,61.0,fit,8.0,desk,44.0,positive,8.0,harder,2.0,level,27.0
96,coming,148,desk,60.0,small,8.0,easy,44.0,john,8.0,year,2.0,week,26.0
97,town,146,planet,60.0,'m,8.0,yoga,43.0,weight,7.0,mix,2.0,showers,26.0
98,lots,143,extremely,60.0,welcoming,8.0,person,42.0,levels,7.0,mobility,2.0,job,25.0
99,extremely,142,level,59.0,shape,7.0,kind,42.0,cancel,7.0,lifting,2.0,push,25.0
100,facilities,141,group,59.0,guys,7.0,exercise,42.0,manager,7.0,helped,2.0,safe,25.0
101,locker,140,'ll,58.0,desk,7.0,simply,42.0,supportive,7.0,crowded,2.0,``,25.0
102,person,139,machine,58.0,rooms,7.0,open,41.0,hard,7.0,sort,2.0,family,25.0
103,desk,139,small,58.0,crowded,7.0,loved,41.0,environment,7.0,period,2.0,bad,25.0
104,push,138,variety,57.0,town,7.0,check,41.0,start,7.0,making,2.0,water,25.0
105,favorite,138,downtown,57.0,completely,7.0,parking,41.0,life,7.0,kind,2.0,..,25.0
106,stronger,135,care,56.0,wonderful,7.0,wonderful,39.0,cardio,7.0,quality,2.0,cardio,25.0
107,crossfit,135,manager,55.0,offer,7.0,absolutely,39.0,facilities,7.0,extremely,2.0,small,25.0
108,coach,132,simply,55.0,hour,7.0,care,39.0,lot,7.0,lake,2.0,weight,25.0
109,don,132,sauna,55.0,don,7.0,spin,39.0,town,7.0,visiting,2.0,challenging,24.0
110,exercise,129,started,53.0,atmosphere,7.0,town,38.0,convenient,7.0,organized,2.0,enjoy,24.0
111,kind,127,coaching,53.0,sessions,7.0,weights,38.0,huge,7.0,lots,2.0,leave,24.0
112,simply,127,body,52.0,started,7.0,planet,38.0,parking,7.0,excellent,2.0,desk,24.0
113,programming,126,shape,52.0,pool,7.0,lots,38.0,sense,7.0,drop,2.0,facilities,24.0
114,price,125,person,52.0,sauna,7.0,health,37.0,eric,7.0,loved,2.0,10,24.0
115,excellent,124,lake,52.0,strong,7.0,joined,37.0,heat,6.0,amenities,2.0,24,24.0
116,gold,124,sign,52.0,chelsea,7.0,south,37.0,moved,6.0,times,2.0,group,24.0
117,downtown,122,water,52.0,heat,6.0,manager,37.0,comfortable,6.0,checked,2.0,train,24.0
118,shape,120,card,52.0,space,6.0,weeks,37.0,contract,6.0,months,2.0,coach,23.0
119,check,120,lifting,52.0,ton,6.0,felt,37.0,person,6.0,couldn,2.0,coming,23.0
120,family,119,coach,51.0,long,6.0,thought,37.0,literally,6.0,coaching,2.0,locker,23.0
121,energy,118,high,51.0,music,6.0,feeling,36.0,otf,6.0,continue,2.0,30,23.0
122,days,118,hour,51.0,downtown,6.0,family,36.0,sauna,6.0,extra,2.0,cool,23.0
123,happy,118,don,50.0,wo,6.0,crossfit,36.0,machines,6.0,improve,2.0,charge,23.0
124,business,118,quality,50.0,enjoy,6.0,otf,36.0,days,6.0,welcoming,2.0,music,22.0
125,busy,118,professional,50.0,worst,6.0,programming,36.0,entire,6.0,morning,2.0,excellent,22.0
126,easy,117,kind,49.0,planet,6.0,team,35.0,big,6.0,town,2.0,money,22.0
127,professional,115,business,49.0,business,6.0,positive,35.0,space,6.0,pretty,2.0,club,22.0
