weekday,Total Business Hour,place_id
"['Monday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Tuesday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Wednesday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Thursday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Friday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009\u20096:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009\u20095:00\u202fPM']",105.0,ChIJ67fKLcW3RIYR-vOCNhTncE0
"['Monday: 6:30\u202fAM\u2009\u20097:30\u202fPM', 'Tuesday: 6:30\u202fAM\u2009\u20097:30\u202fPM', 'Wednesday: 6:30\u202fAM\u2009\u20097:30\u202fPM', 'Thursday: 6:30\u202fAM\u2009\u20097:30\u202fPM', 'Friday: 6:30\u202fAM\u2009\u20097:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",65.0,ChIJ2Xj42hG1RIYRDjhdHZglX0k
"['Monday: 6:00\u202fAM\u2009\u200911:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009\u200911:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009\u200911:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009\u200911:00\u202fPM', 'Friday: 6:00\u202fAM\u2009\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009\u200911:00\u202fPM']",107.0,ChIJCRvzjZm1RIYRcJ9FjtmT0fo
"['Monday: 6:00\u2009\u20098:15\u202fAM, 5:15\u2009\u20097:30\u202fPM', 'Tuesday: Closed', 'Wednesday: 6:00\u2009\u20098:15\u202fAM, 5:15\u2009\u20097:30\u202fPM', 'Thursday: Closed', 'Friday: 6:00\u2009\u20098:15\u202fAM', 'Saturday: 7:45\u2009\u200911:00\u202fAM', 'Sunday: 8:15\u2009\u200911:45\u202fAM']",18.0,ChIJQ7j2YQe1RIYRuurPrEGJdWM
"['Monday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Tuesday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Wednesday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Thursday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Friday: 5:00\u202fAM\u2009\u20096:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009\u20092:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009\u20092:00\u202fPM']",87.0,ChIJH8WQ1_i1RIYRvAAnyn0hNEo
"['Monday: 5:30\u202fAM\u2009\u20097:30\u202fPM', 'Tuesday: 5:30\u202fAM\u2009\u20098:15\u202fPM', 'Wednesday: 5:30\u202fAM\u2009\u20097:30\u202fPM', 'Thursday: 5:30\u202fAM\u2009\u20096:45\u202fPM', 'Friday: 5:30\u202fAM\u2009\u20096:30\u202fPM', 'Saturday: 8:15\u2009\u200911:45\u202fAM', 'Sunday: 7:30\u2009\u200911:00\u202fAM']",76.0,ChIJOadXfVm1RIYR14nZsvZcSyE
"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",168.0,ChIJw1zenIq1RIYRLJTo_ZFw4-I
"['Monday: 5:30\u202fAM\u2009\u20099:00\u202fPM', 'Tuesday: 5:30\u202fAM\u2009\u20099:00\u202fPM', 'Wednesday: 5:30\u202fAM\u2009\u20099:00\u202fPM', 'Thursday: 5:30\u202fAM\u2009\u20099:00\u202fPM', 'Friday: 5:30\u202fAM\u2009\u20097:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009\u20091:00\u202fPM', 'Sunday: 8:30\u202fAM\u2009\u20092:00\u202fPM']",87.0,ChIJmdm_YCjLRIYRPl7c-OrLBRc
"['Monday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Tuesday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Wednesday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Thursday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Friday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Saturday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Sunday: 5:00\u202fAM\u2009\u200910:00\u202fPM']",119.0,ChIJWUhOtqi1RIYR5mxo3OlS1LE
"['Monday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Tuesday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Wednesday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Thursday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Friday: 5:00\u202fAM\u2009\u20096:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009\u20092:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009\u20092:00\u202fPM']",87.0,ChIJMUq-wAq1RIYRGFv2zSSc3oA
